1993ag 0.05 36.91 0.135
1993o 0.053 36.977 0.134
1993h 0.025 35.264 0.186
1993b 0.07 37.729 0.124
1992bs 0.063 37.722 0.131
1992br 0.088 38.353 0.143
1992bp 0.079 37.687 0.128
1992bo 0.017 34.815 0.235
1992bl 0.042 36.52 0.14
1992bh 0.045 36.771 0.139
1992bc 0.02 34.702 0.214
1992aq 0.101 38.696 0.126
1992ag 0.027 35.353 0.179
1992ae 0.075 37.832 0.129
1992p 0.026 35.694 0.188
1990af 0.05 36.872 0.137
1990o 0.031 35.714 0.163
2001cz 0.016 34.222 0.204
2001cn 0.015 34.145 0.219
2001ba 0.03 35.748 0.098
2000ca 0.025 35.13 0.135
2000bh 0.024 35.071 0.143
1999gp 0.026 35.512 0.129
1993ac 0.049 36.785 0.163
1994m 0.024 35.207 0.205
1994s 0.015 34.372 0.28
1994t 0.036 36.264 0.181
1995ac 0.049 36.518 0.159
1995ak 0.022 35.017 0.216
1996c 0.028 35.816 0.188
1996ab 0.124 39.152 0.148
1996bl 0.036 35.995 0.167
1996bv 0.017 34.257 0.254
1996bo 0.016 34.165 0.257
2000fa 0.022 35.048 0.296
2000dk 0.016 34.33 0.325
2000cn 0.023 35.219 0.293
2000cf 0.036 36.276 0.268
1999gd 0.019 35.192 0.313
1999ek 0.018 34.503 0.338
1999cc 0.032 35.866 0.272
1998eg 0.024 35.348 0.292
1998ef 0.017 34.037 0.324
1998dx 0.054 36.587 0.26
1998co 0.017 34.396 0.322
1998ab 0.028 35.169 0.275
1998v 0.017 34.348 0.321
1997dg 0.03 36.118 0.272
1997y 0.017 34.522 0.324
1999aa 0.015 34.268 0.223
1999ao 0.054 37.124 0.106
1999ar 0.156 39.448 0.074
1999aw 0.039 36.467 0.097
1999bi 0.124 38.904 0.084
1999bm 0.144 39.187 0.067
1999bn 0.13 39.15 0.075
1999bp 0.078 37.966 0.074
1996h 0.62 43.399 0.342
1996i 0.57 42.797 0.313
1996j 0.3 41.053 0.294
1996k 0.38 42.178 0.273
1996u 0.43 42.519 0.326
1995ao 0.24 41.032 0.567
1995ap 0.3 40.295 0.865
1996t 0.24 41.086 0.267
1997ce 0.44 42.195 0.275
1997cj 0.5 42.597 0.277
1997ck 0.97 43.134 0.74
1995k 0.479 42.471 0.294
1997ap 0.83 43.649 0.358
1997am 0.416 42.231 0.408
1997aj 0.581 42.067 0.398
1997ai 0.45 41.933 0.356
1997af 0.579 43.325 0.526
1997ac 0.32 41.339 0.328
1997r 0.657 43.23 0.517
1997p 0.472 42.235 0.44
1997o 0.374 43.325 0.858
1997h 0.526 42.117 0.38
1997g 0.763 44.643 0.851
1997f 0.58 43.115 0.382
1996cn 0.43 41.975 0.369
1996cm 0.45 42.405 0.396
